city,year,weekofyear,total_cases
sj,2011,42,42
sj,2011,43,35
sj,2011,44,48
sj,2011,45,40
sj,2011,46,39
sj,2011,47,35
sj,2011,48,33
sj,2011,49,27
sj,2011,50,30
sj,2011,51,21
sj,2012,52,22
sj,2012,1,25
sj,2012,2,24
sj,2012,3,21
sj,2012,4,21
sj,2012,5,20
sj,2012,6,21
sj,2012,7,22
sj,2012,8,21
sj,2012,9,22
sj,2012,10,22
sj,2012,11,20
sj,2012,12,20
sj,2012,13,23
sj,2012,14,26
sj,2012,15,27
sj,2012,16,26
sj,2012,17,27
sj,2012,18,32
sj,2012,19,29
sj,2012,20,40
sj,2012,21,37
sj,2012,22,29
sj,2012,23,42
sj,2012,24,39
sj,2012,25,42
sj,2012,26,45
sj,2012,27,43
sj,2012,28,45
sj,2012,29,46
sj,2012,30,48
sj,2012,31,43
sj,2012,32,48
sj,2012,33,56
sj,2012,34,48
sj,2012,35,46
sj,2012,36,39
sj,2012,37,40
sj,2012,38,41
sj,2012,39,49
sj,2012,40,49
sj,2012,41,41
sj,2012,42,60
sj,2012,43,51
sj,2012,44,55
sj,2012,45,41
sj,2012,46,41
sj,2012,47,43
sj,2012,48,34
sj,2012,49,31
sj,2012,50,27
sj,2012,51,25
sj,2013,1,28
sj,2013,2,23
sj,2013,3,21
sj,2013,4,20
sj,2013,5,23
sj,2013,6,22
sj,2013,7,21
sj,2013,8,21
sj,2013,9,21
sj,2013,10,24
sj,2013,11,21
sj,2013,12,21
sj,2013,13,29
sj,2013,14,25
sj,2013,15,29
sj,2013,16,27
sj,2013,17,26
iq,2010,26,6
iq,2010,27,5
iq,2010,28,8
iq,2010,29,1
iq,2010,30,1
iq,2010,31,4
iq,2010,32,3
iq,2010,33,5
iq,2010,34,4
iq,2010,35,6
iq,2010,36,5
iq,2010,37,5
iq,2010,38,4
iq,2010,39,5
iq,2010,40,4
iq,2010,41,4
iq,2010,42,5
iq,2010,43,8
iq,2010,44,11
iq,2010,45,6
iq,2010,46,7
iq,2010,47,7
iq,2010,48,8
iq,2010,49,10
iq,2010,50,9
iq,2010,51,5
iq,2011,52,7
iq,2011,1,6
iq,2011,2,7
iq,2011,3,7
iq,2011,4,5
iq,2011,5,5
iq,2011,6,7
iq,2011,7,7
iq,2011,8,8
iq,2011,9,7
iq,2011,10,7
iq,2011,11,7
iq,2011,12,7
iq,2011,13,9
iq,2011,14,7
iq,2011,15,7
iq,2011,16,8
iq,2011,17,10
iq,2011,18,9
iq,2011,19,5
iq,2011,20,8
iq,2011,21,8
iq,2011,22,6
iq,2011,23,5
iq,2011,24,5
iq,2011,25,3
iq,2011,26,4
iq,2011,27,4
iq,2011,28,3
iq,2011,29,4
iq,2011,30,4
iq,2011,31,4
iq,2011,32,4
iq,2011,33,5
iq,2011,34,2
iq,2011,35,2
iq,2011,36,5
iq,2011,37,6
iq,2011,38,6
iq,2011,39,8
iq,2011,40,6
iq,2011,41,8
iq,2011,42,14
iq,2011,43,7
iq,2011,44,7
iq,2011,45,8
iq,2011,46,8
iq,2011,47,7
iq,2011,48,9
iq,2011,49,10
iq,2011,50,9
iq,2011,51,10
iq,2012,52,11
iq,2012,1,10
iq,2012,2,9
iq,2012,3,6
iq,2012,4,6
iq,2012,5,9
iq,2012,6,9
iq,2012,7,7
iq,2012,8,7
iq,2012,9,5
iq,2012,10,8
iq,2012,11,7
iq,2012,12,5
iq,2012,13,7
iq,2012,14,7
iq,2012,15,13
iq,2012,16,11
iq,2012,17,9
iq,2012,18,8
iq,2012,19,3
iq,2012,20,8
iq,2012,21,5
iq,2012,22,6
iq,2012,23,5
iq,2012,24,2
iq,2012,25,4
iq,2012,26,3
iq,2012,27,3
iq,2012,28,3
iq,2012,29,4
iq,2012,30,2
iq,2012,31,3
iq,2012,32,2
iq,2012,33,3
iq,2012,34,3
iq,2012,35,4
iq,2012,36,3
iq,2012,37,4
iq,2012,38,4
iq,2012,39,4
iq,2012,40,3
iq,2012,41,10
iq,2012,42,5
iq,2012,43,11
iq,2012,44,9
iq,2012,45,9
iq,2012,46,13
iq,2012,47,13
iq,2012,48,14
iq,2012,49,10
iq,2012,50,9
iq,2012,51,12
iq,2013,1,11
iq,2013,2,5
iq,2013,3,8
iq,2013,4,11
iq,2013,5,10
iq,2013,6,12
iq,2013,7,10
iq,2013,8,9
iq,2013,9,8
iq,2013,10,10
iq,2013,11,11
iq,2013,12,15
iq,2013,13,11
iq,2013,14,8
iq,2013,15,8
iq,2013,16,12
iq,2013,17,7
iq,2013,18,2
iq,2013,19,11
iq,2013,20,7
iq,2013,21,7
iq,2013,22,7
iq,2013,23,7
iq,2013,24,5
iq,2013,25,5
iq,2013,26,6
