city,year,weekofyear,total_cases
sj,2010,18,11
sj,2010,19,10
sj,2010,20,10
sj,2010,21,13
sj,2010,22,15
sj,2010,23,14
sj,2010,24,17
sj,2010,25,20
sj,2010,26,22
sj,2010,27,23
sj,2010,28,26
sj,2010,29,30
sj,2010,30,39
sj,2010,31,49
sj,2010,32,45
sj,2010,33,51
sj,2010,34,50
sj,2010,35,55
sj,2010,36,57
sj,2010,37,58
sj,2010,38,60
sj,2010,39,72
sj,2010,40,71
sj,2010,41,70
sj,2010,42,66
sj,2010,43,67
sj,2010,44,64
sj,2010,45,61
sj,2010,46,61
sj,2010,47,60
sj,2010,48,53
sj,2010,49,45
sj,2010,50,36
sj,2010,51,32
sj,2011,52,35
sj,2011,1,32
sj,2011,2,32
sj,2011,3,30
sj,2011,4,26
sj,2011,5,24
sj,2011,6,22
sj,2011,7,19
sj,2011,8,19
sj,2011,9,19
sj,2011,10,14
sj,2011,11,12
sj,2011,12,12
sj,2011,13,10
sj,2011,14,10
sj,2011,15,10
sj,2011,16,8
sj,2011,17,10
sj,2011,18,11
sj,2011,19,10
sj,2011,20,10
sj,2011,21,13
sj,2011,22,15
sj,2011,23,14
sj,2011,24,17
sj,2011,25,20
sj,2011,26,22
sj,2011,27,23
sj,2011,28,26
sj,2011,29,30
sj,2011,30,39
sj,2011,31,49
sj,2011,32,45
sj,2011,33,51
sj,2011,34,50
sj,2011,35,55
sj,2011,36,57
sj,2011,37,58
sj,2011,38,60
sj,2011,39,72
sj,2011,40,71
sj,2011,41,70
sj,2011,42,66
sj,2011,43,67
sj,2011,44,64
sj,2011,45,61
sj,2011,46,61
sj,2011,47,60
sj,2011,48,53
sj,2011,49,45
sj,2011,50,36
sj,2011,51,32
sj,2012,52,35
sj,2012,1,32
sj,2012,2,32
sj,2012,3,30
sj,2012,4,26
sj,2012,5,24
sj,2012,6,22
sj,2012,7,19
sj,2012,8,19
sj,2012,9,19
sj,2012,10,14
sj,2012,11,12
sj,2012,12,12
sj,2012,13,10
sj,2012,14,10
sj,2012,15,10
sj,2012,16,8
sj,2012,17,10
sj,2012,18,11
sj,2012,19,10
sj,2012,20,10
sj,2012,21,13
sj,2012,22,15
sj,2012,23,14
sj,2012,24,17
sj,2012,25,20
sj,2012,26,22
sj,2012,27,23
sj,2012,28,26
sj,2012,29,30
sj,2012,30,39
sj,2012,31,49
sj,2012,32,45
sj,2012,33,51
sj,2012,34,50
sj,2012,35,55
sj,2012,36,57
sj,2012,37,58
sj,2012,38,60
sj,2012,39,72
sj,2012,40,71
sj,2012,41,70
sj,2012,42,66
sj,2012,43,67
sj,2012,44,64
sj,2012,45,61
sj,2012,46,61
sj,2012,47,60
sj,2012,48,53
sj,2012,49,45
sj,2012,50,36
sj,2012,51,32
sj,2013,1,35
sj,2013,2,32
sj,2013,3,32
sj,2013,4,30
sj,2013,5,26
sj,2013,6,24
sj,2013,7,22
sj,2013,8,19
sj,2013,9,19
sj,2013,10,19
sj,2013,11,14
sj,2013,12,12
sj,2013,13,12
sj,2013,14,10
sj,2013,15,10
sj,2013,16,10
sj,2013,17,8
iq,2010,26,3
iq,2010,27,2
iq,2010,28,3
iq,2010,29,4
iq,2010,30,4
iq,2010,31,2
iq,2010,32,3
iq,2010,33,4
iq,2010,34,3
iq,2010,35,5
iq,2010,36,5
iq,2010,37,6
iq,2010,38,6
iq,2010,39,10
iq,2010,40,8
iq,2010,41,13
iq,2010,42,10
iq,2010,43,11
iq,2010,44,11
iq,2010,45,9
iq,2010,46,11
iq,2010,47,7
iq,2010,48,17
iq,2010,49,21
iq,2010,50,9
iq,2010,51,3
iq,2011,52,6
iq,2011,1,14
iq,2011,2,10
iq,2011,3,14
iq,2011,4,14
iq,2011,5,15
iq,2011,6,11
iq,2011,7,11
iq,2011,8,11
iq,2011,9,9
iq,2011,10,7
iq,2011,11,6
iq,2011,12,5
iq,2011,13,6
iq,2011,14,6
iq,2011,15,5
iq,2011,16,5
iq,2011,17,3
iq,2011,18,6
iq,2011,19,5
iq,2011,20,3
iq,2011,21,4
iq,2011,22,3
iq,2011,23,3
iq,2011,24,3
iq,2011,25,2
iq,2011,26,3
iq,2011,27,3
iq,2011,28,3
iq,2011,29,3
iq,2011,30,3
iq,2011,31,3
iq,2011,32,3
iq,2011,33,3
iq,2011,34,3
iq,2011,35,4
iq,2011,36,5
iq,2011,37,6
iq,2011,38,6
iq,2011,39,10
iq,2011,40,8
iq,2011,41,13
iq,2011,42,10
iq,2011,43,11
iq,2011,44,11
iq,2011,45,9
iq,2011,46,11
iq,2011,47,7
iq,2011,48,17
iq,2011,49,21
iq,2011,50,9
iq,2011,51,3
iq,2012,52,6
iq,2012,1,14
iq,2012,2,10
iq,2012,3,14
iq,2012,4,14
iq,2012,5,15
iq,2012,6,11
iq,2012,7,11
iq,2012,8,11
iq,2012,9,9
iq,2012,10,7
iq,2012,11,6
iq,2012,12,5
iq,2012,13,6
iq,2012,14,6
iq,2012,15,5
iq,2012,16,5
iq,2012,17,3
iq,2012,18,6
iq,2012,19,5
iq,2012,20,3
iq,2012,21,4
iq,2012,22,3
iq,2012,23,3
iq,2012,24,3
iq,2012,25,2
iq,2012,26,3
iq,2012,27,3
iq,2012,28,3
iq,2012,29,3
iq,2012,30,3
iq,2012,31,3
iq,2012,32,3
iq,2012,33,3
iq,2012,34,3
iq,2012,35,4
iq,2012,36,5
iq,2012,37,6
iq,2012,38,6
iq,2012,39,10
iq,2012,40,8
iq,2012,41,13
iq,2012,42,10
iq,2012,43,11
iq,2012,44,11
iq,2012,45,9
iq,2012,46,11
iq,2012,47,7
iq,2012,48,17
iq,2012,49,21
iq,2012,50,9
iq,2012,51,3
iq,2013,1,6
iq,2013,2,14
iq,2013,3,10
iq,2013,4,14
iq,2013,5,14
iq,2013,6,15
iq,2013,7,11
iq,2013,8,11
iq,2013,9,11
iq,2013,10,9
iq,2013,11,7
iq,2013,12,6
iq,2013,13,5
iq,2013,14,6
iq,2013,15,6
iq,2013,16,5
iq,2013,17,5
iq,2013,18,3
iq,2013,19,6
iq,2013,20,5
iq,2013,21,3
iq,2013,22,4
iq,2013,23,3
iq,2013,24,3
iq,2013,25,3
iq,2013,26,2
