city,year,weekofyear,total_cases
sj,2011,24,55
sj,2011,25,34
sj,2011,26,36
sj,2011,27,32
sj,2011,28,27
sj,2011,29,39
sj,2011,30,34
sj,2011,31,42
sj,2011,32,34
sj,2011,33,32
sj,2011,34,37
sj,2011,35,27
sj,2011,36,34
sj,2011,37,37
sj,2011,38,59
sj,2011,39,26
sj,2011,40,35
sj,2011,41,49
sj,2011,42,47
sj,2011,43,43
sj,2011,44,47
sj,2011,45,36
sj,2011,46,26
sj,2011,47,37
sj,2011,48,48
sj,2011,49,24
sj,2011,50,32
sj,2011,51,34
sj,2012,52,32
sj,2012,1,12
sj,2012,2,9
sj,2012,3,15
sj,2012,4,19
sj,2012,5,10
sj,2012,6,9
sj,2012,7,17
sj,2012,8,9
sj,2012,9,13
sj,2012,10,12
sj,2012,11,10
sj,2012,12,14
sj,2012,13,20
sj,2012,14,20
sj,2012,15,18
sj,2012,16,27
sj,2012,17,24
sj,2012,18,25
sj,2012,19,22
sj,2012,20,18
sj,2012,21,17
sj,2012,22,15
sj,2012,23,15
sj,2012,24,15
sj,2012,25,15
sj,2012,26,22
sj,2012,27,25
sj,2012,28,33
sj,2012,29,30
sj,2012,30,20
sj,2012,31,26
sj,2012,32,31
sj,2012,33,46
sj,2012,34,35
sj,2012,35,52
sj,2012,36,20
sj,2012,37,27
sj,2012,38,42
sj,2012,39,26
sj,2012,40,32
sj,2012,41,38
sj,2012,42,44
sj,2012,43,42
sj,2012,44,40
sj,2012,45,51
sj,2012,46,50
sj,2012,47,55
sj,2012,48,31
sj,2012,49,30
sj,2012,50,32
sj,2012,51,40
sj,2013,1,9
sj,2013,2,13
sj,2013,3,13
sj,2013,4,12
sj,2013,5,21
sj,2013,6,7
sj,2013,7,10
sj,2013,8,15
sj,2013,9,13
sj,2013,10,11
sj,2013,11,23
sj,2013,12,10
sj,2013,13,12
sj,2013,14,23
sj,2013,15,13
sj,2013,16,10
sj,2013,17,17
iq,2010,26,5
iq,2010,27,5
iq,2010,28,7
iq,2010,29,1
iq,2010,30,2
iq,2010,31,4
iq,2010,32,3
iq,2010,33,4
iq,2010,34,4
iq,2010,35,6
iq,2010,36,5
iq,2010,37,6
iq,2010,38,2
iq,2010,39,4
iq,2010,40,2
iq,2010,41,5
iq,2010,42,2
iq,2010,43,8
iq,2010,44,8
iq,2010,45,2
iq,2010,46,2
iq,2010,47,8
iq,2010,48,10
iq,2010,49,6
iq,2010,50,9
iq,2010,51,6
iq,2011,52,5
iq,2011,1,7
iq,2011,2,6
iq,2011,3,7
iq,2011,4,6
iq,2011,5,4
iq,2011,6,9
iq,2011,7,3
iq,2011,8,7
iq,2011,9,7
iq,2011,10,8
iq,2011,11,7
iq,2011,12,7
iq,2011,13,10
iq,2011,14,7
iq,2011,15,7
iq,2011,16,7
iq,2011,17,8
iq,2011,18,8
iq,2011,19,5
iq,2011,20,6
iq,2011,21,7
iq,2011,22,7
iq,2011,23,5
iq,2011,24,2
iq,2011,25,3
iq,2011,26,3
iq,2011,27,5
iq,2011,28,3
iq,2011,29,3
iq,2011,30,4
iq,2011,31,4
iq,2011,32,2
iq,2011,33,5
iq,2011,34,2
iq,2011,35,2
iq,2011,36,3
iq,2011,37,5
iq,2011,38,4
iq,2011,39,6
iq,2011,40,5
iq,2011,41,7
iq,2011,42,17
iq,2011,43,4
iq,2011,44,6
iq,2011,45,6
iq,2011,46,4
iq,2011,47,6
iq,2011,48,10
iq,2011,49,9
iq,2011,50,11
iq,2011,51,6
iq,2012,52,7
iq,2012,1,8
iq,2012,2,6
iq,2012,3,4
iq,2012,4,6
iq,2012,5,7
iq,2012,6,4
iq,2012,7,5
iq,2012,8,5
iq,2012,9,5
iq,2012,10,4
iq,2012,11,4
iq,2012,12,3
iq,2012,13,7
iq,2012,14,4
iq,2012,15,8
iq,2012,16,10
iq,2012,17,5
iq,2012,18,7
iq,2012,19,3
iq,2012,20,10
iq,2012,21,4
iq,2012,22,5
iq,2012,23,5
iq,2012,24,1
iq,2012,25,3
iq,2012,26,1
iq,2012,27,2
iq,2012,28,3
iq,2012,29,2
iq,2012,30,2
iq,2012,31,3
iq,2012,32,2
iq,2012,33,2
iq,2012,34,2
iq,2012,35,5
iq,2012,36,5
iq,2012,37,4
iq,2012,38,3
iq,2012,39,3
iq,2012,40,3
iq,2012,41,8
iq,2012,42,4
iq,2012,43,9
iq,2012,44,7
iq,2012,45,7
iq,2012,46,10
iq,2012,47,18
iq,2012,48,14
iq,2012,49,11
iq,2012,50,6
iq,2012,51,14
iq,2013,1,12
iq,2013,2,5
iq,2013,3,8
iq,2013,4,9
iq,2013,5,8
iq,2013,6,7
iq,2013,7,5
iq,2013,8,7
iq,2013,9,6
iq,2013,10,10
iq,2013,11,10
iq,2013,12,13
iq,2013,13,8
iq,2013,14,5
iq,2013,15,6
iq,2013,16,9
iq,2013,17,9
iq,2013,18,2
iq,2013,19,9
iq,2013,20,7
iq,2013,21,5
iq,2013,22,7
iq,2013,23,6
iq,2013,24,5
iq,2013,25,4
iq,2013,26,4
