city,year,weekofyear,total_cases
sj,2010,16,34
sj,2010,17,22
sj,2010,18,33
sj,2010,19,30
sj,2010,20,32
sj,2010,21,34
sj,2010,22,87
sj,2010,23,31
sj,2010,24,30
sj,2010,25,55
sj,2010,26,37
sj,2010,27,33
sj,2010,28,71
sj,2010,29,45
sj,2010,30,54
sj,2010,31,31
sj,2010,32,84
sj,2010,33,33
sj,2010,34,46
sj,2010,35,52
sj,2010,36,109
sj,2010,37,35
sj,2010,38,36
sj,2010,39,46
sj,2010,40,53
sj,2010,41,78
sj,2010,42,32
sj,2010,43,22
sj,2010,44,26
sj,2010,45,44
sj,2010,46,14
sj,2010,47,13
sj,2010,48,24
sj,2010,49,39
sj,2010,50,10
sj,2010,51,24
sj,2011,52,20
sj,2011,1,15
sj,2011,2,28
sj,2011,3,13
sj,2011,4,11
sj,2011,5,12
sj,2011,6,12
sj,2011,7,7
sj,2011,8,11
sj,2011,9,13
sj,2011,10,5
sj,2011,11,8
sj,2011,12,8
sj,2011,13,19
sj,2011,14,22
sj,2011,15,15
sj,2011,16,14
sj,2011,17,9
sj,2011,18,19
sj,2011,19,14
sj,2011,20,32
sj,2011,21,57
sj,2011,22,41
sj,2011,23,50
sj,2011,24,91
sj,2011,25,57
sj,2011,26,57
sj,2011,27,45
sj,2011,28,44
sj,2011,29,49
sj,2011,30,44
sj,2011,31,51
sj,2011,32,45
sj,2011,33,46
sj,2011,34,53
sj,2011,35,33
sj,2011,36,38
sj,2011,37,56
sj,2011,38,61
sj,2011,39,32
sj,2011,40,40
sj,2011,41,49
sj,2011,42,44
sj,2011,43,32
sj,2011,44,41
sj,2011,45,29
sj,2011,46,16
sj,2011,47,31
sj,2011,48,27
sj,2011,49,12
sj,2011,50,21
sj,2011,51,19
sj,2012,52,18
sj,2012,1,18
sj,2012,2,12
sj,2012,3,17
sj,2012,4,21
sj,2012,5,10
sj,2012,6,9
sj,2012,7,13
sj,2012,8,8
sj,2012,9,11
sj,2012,10,11
sj,2012,11,9
sj,2012,12,11
sj,2012,13,16
sj,2012,14,17
sj,2012,15,18
sj,2012,16,31
sj,2012,17,21
sj,2012,18,26
sj,2012,19,26
sj,2012,20,21
sj,2012,21,24
sj,2012,22,15
sj,2012,23,21
sj,2012,24,20
sj,2012,25,19
sj,2012,26,27
sj,2012,27,33
sj,2012,28,40
sj,2012,29,33
sj,2012,30,23
sj,2012,31,33
sj,2012,32,39
sj,2012,33,53
sj,2012,34,40
sj,2012,35,53
sj,2012,36,20
sj,2012,37,28
sj,2012,38,41
sj,2012,39,32
sj,2012,40,42
sj,2012,41,38
sj,2012,42,48
sj,2012,43,41
sj,2012,44,30
sj,2012,45,36
sj,2012,46,41
sj,2012,47,46
sj,2012,48,14
sj,2012,49,16
sj,2012,50,14
sj,2012,51,15
sj,2013,1,9
sj,2013,2,18
sj,2013,3,14
sj,2013,4,9
sj,2013,5,27
sj,2013,6,9
sj,2013,7,12
sj,2013,8,12
sj,2013,9,12
sj,2013,10,11
sj,2013,11,20
sj,2013,12,11
sj,2013,13,11
sj,2013,14,17
sj,2013,15,11
sj,2013,16,11
sj,2013,17,16
iq,2010,26,4
iq,2010,27,4
iq,2010,28,7
iq,2010,29,2
iq,2010,30,3
iq,2010,31,4
iq,2010,32,3
iq,2010,33,4
iq,2010,34,4
iq,2010,35,7
iq,2010,36,6
iq,2010,37,6
iq,2010,38,5
iq,2010,39,5
iq,2010,40,5
iq,2010,41,6
iq,2010,42,4
iq,2010,43,12
iq,2010,44,11
iq,2010,45,7
iq,2010,46,4
iq,2010,47,9
iq,2010,48,19
iq,2010,49,9
iq,2010,50,10
iq,2010,51,7
iq,2011,52,7
iq,2011,1,11
iq,2011,2,9
iq,2011,3,8
iq,2011,4,7
iq,2011,5,6
iq,2011,6,11
iq,2011,7,5
iq,2011,8,9
iq,2011,9,10
iq,2011,10,10
iq,2011,11,9
iq,2011,12,11
iq,2011,13,10
iq,2011,14,8
iq,2011,15,10
iq,2011,16,10
iq,2011,17,11
iq,2011,18,9
iq,2011,19,3
iq,2011,20,6
iq,2011,21,7
iq,2011,22,7
iq,2011,23,4
iq,2011,24,3
iq,2011,25,2
iq,2011,26,3
iq,2011,27,3
iq,2011,28,2
iq,2011,29,4
iq,2011,30,4
iq,2011,31,3
iq,2011,32,3
iq,2011,33,5
iq,2011,34,3
iq,2011,35,3
iq,2011,36,3
iq,2011,37,6
iq,2011,38,5
iq,2011,39,7
iq,2011,40,5
iq,2011,41,8
iq,2011,42,17
iq,2011,43,5
iq,2011,44,7
iq,2011,45,6
iq,2011,46,7
iq,2011,47,6
iq,2011,48,11
iq,2011,49,10
iq,2011,50,14
iq,2011,51,8
iq,2012,52,9
iq,2012,1,8
iq,2012,2,8
iq,2012,3,4
iq,2012,4,5
iq,2012,5,7
iq,2012,6,5
iq,2012,7,6
iq,2012,8,7
iq,2012,9,5
iq,2012,10,4
iq,2012,11,4
iq,2012,12,4
iq,2012,13,8
iq,2012,14,6
iq,2012,15,11
iq,2012,16,11
iq,2012,17,5
iq,2012,18,7
iq,2012,19,4
iq,2012,20,10
iq,2012,21,4
iq,2012,22,4
iq,2012,23,4
iq,2012,24,3
iq,2012,25,3
iq,2012,26,2
iq,2012,27,2
iq,2012,28,3
iq,2012,29,3
iq,2012,30,2
iq,2012,31,4
iq,2012,32,3
iq,2012,33,4
iq,2012,34,3
iq,2012,35,5
iq,2012,36,5
iq,2012,37,5
iq,2012,38,3
iq,2012,39,5
iq,2012,40,5
iq,2012,41,9
iq,2012,42,6
iq,2012,43,13
iq,2012,44,9
iq,2012,45,8
iq,2012,46,17
iq,2012,47,20
iq,2012,48,12
iq,2012,49,12
iq,2012,50,8
iq,2012,51,17
iq,2013,1,14
iq,2013,2,3
iq,2013,3,6
iq,2013,4,10
iq,2013,5,9
iq,2013,6,9
iq,2013,7,8
iq,2013,8,9
iq,2013,9,9
iq,2013,10,12
iq,2013,11,13
iq,2013,12,22
iq,2013,13,10
iq,2013,14,8
iq,2013,15,6
iq,2013,16,11
iq,2013,17,9
iq,2013,18,2
iq,2013,19,11
iq,2013,20,9
iq,2013,21,6
iq,2013,22,7
iq,2013,23,6
iq,2013,24,4
iq,2013,25,2
iq,2013,26,3
